Employer Name,Employee Social Security Number,EIN,Control Number,Employee First Name,Employee Last Name,Employee Address & Zip Code,State,Employee State ID,"State wages, tips,etc",State Income Tax,Local Wages & Tips,Local Income Tax,Locality Name,"Wages, Tips & other Compensation",Federal Income Tax Withheld,Social Security Wages,Social Security Tax Withheld,Medicare Wages & Tips,Medicare Tax withheld,Social Security Tips,Allocated Tips,Verification Code,Dependent Care Benefits,Non-qualified Plans,12a Column 1,12a Column 2,12b Column 1,12b Column 2,12c Column 1,12c Column 2,12d Column 1,12d Column 2,Statutary Employee,Retirement plan,Third Party Sick Pay,Other
"Amanda Collins   ,   776 Tracy Mountains
East Lisa, SD 50507   ,   88552",963-46-1662,98-6-22-40,2408318,Ronnie,Henson,"4735 Tyler Skyway
Osbornbury, NV 49091",Maryland,269-11-037,1965,1069.875,1514,3655,Medinabury,8559,1283.85,1316,197.4,2817,422.55,710,2535.3,15098,167,240,FY,8939,RK,9118,UI,7101,QA,5099,False,True,True,MN   98091
"Shawn Booth   ,   0242 Paul Pines
Garciachester, MA 73675   ,   50698",580-04-3401,68-3-85-09,5886979,Jonathan,Taylor,"71124 Rachel Summit
West Cory, AL 45025",Montana,784-49-550,2752,946.75,1329,3200,Lake Jasmine,7574,1136.1,4114,617.1,2091,313.65,686,1881.9,643068,119,150,KE,7148,YR,6749,LA,4027,RQ,6718,False,True,True,DA   01144
"Nancy Warren   ,   6536 Angela Ridges Apt. 669
New Lindseyshire, TX 69207   ,   77749",451-37-3249,29-0-21-58,1726717,Deanna,Bean,"680 Christina Harbor Apt. 345
Margaretchester, NV 90849",Wyoming,702-45-943,1988,1171.625,1325,3469,South Christophershire,9373,1405.95,2467,370.05,3526,528.9,758,3173.4,771661,284,276,BF,1801,RW,1596,JA,7478,NF,9728,True,True,True,ON   91051
"Timothy Malone   ,   056 Jones Mall Apt. 075
West Carolyn, NH 91527   ,   64904",427-02-7546,75-9-56-91,4622223,Timothy,Larson,"658 Savannah Lakes
Garretttown, IA 63069",Pennsylvania,977-07-942,1078,910.5,1994,2183,South Eric,7284,1092.6,4643,696.45,2086,312.9,839,1877.4,860119,286,234,OA,5582,SZ,2646,EB,8661,MB,1472,False,False,True,KR   50613
"Ricky Patel   ,   113 Richard Skyway Suite 298
Douglasside, WI 09628   ,   91539",233-14-1904,63-8-84-81,0815921,Brandi,Mitchell,"0034 Miller Island
Fieldsstad, KY 16264",Oregon,828-09-337,2922,944.75,2463,3280,New Marissa,7558,1133.7,3923,588.45,2688,403.2,621,2419.2,121694,170,184,KS,3311,FQ,4341,AU,3229,FJ,3842,True,False,True,CI   75371
"Erika Walton   ,   154 Laura Dam Suite 423
Port Ericabury, AK 69796   ,   78758",649-65-4510,17-7-79-30,8141924,Thomas,Schneider,"1573 Robert Junctions
Meganbury, CO 47516",Kentucky,464-11-955,2126,1117.875,2912,2486,Lake Kevinshire,8943,1341.45,1384,207.6,3382,507.3,678,3043.8,417036,233,168,ED,8561,SW,9946,FV,9089,WG,5519,True,False,True,CK   85514
"Patricia Miller   ,   795 Moore Pass
Brianshire, RI 75499   ,   82927",985-20-9880,99-5-61-02,6092904,Lisa,Allen,"591 Larson Extension Apt. 340
West Anaton, VT 01915",Arkansas,402-46-333,1449,801.875,1772,2676,Bradmouth,6415,962.25,1123,168.45,3842,576.3,996,3457.8,175867,296,252,XO,3070,CN,1437,ZM,1596,MO,6056,False,False,True,EE   79011
"Michael Jennings   ,   8930 Atkinson Hollow
Pamelaview, VT 29930   ,   75763",118-15-1391,25-1-67-49,9170393,Laura,Cruz,"1891 Stephanie Crossroad Apt. 523
Haleyborough, MI 02311",Alabama,842-86-486,1773,1221.375,1183,2136,North Kyle,9771,1465.65,4127,619.05,2850,427.5,847,2565.0,351218,126,195,KA,2743,FI,2916,ID,7437,KQ,7410,True,False,True,DC   64845
"Billy Howard   ,   54518 William Meadows Suite 733
New Charlesside, CA 91881   ,   76555",250-72-6372,38-6-25-82,2218831,Trevor,Martinez,"6423 Clark Garden
West Robertborough, MS 19452",Connecticut,512-81-267,1606,729.375,2468,3811,Port Jeremy,5835,875.25,1781,267.15,2014,302.1,896,1812.6,102598,267,158,YW,8363,ON,3393,NV,6393,RM,6284,False,False,False,SE   22671
"Joseph Robinson   ,   4324 Petty Creek Apt. 832
Port Ryan, LA 21196   ,   70682",249-21-6928,72-0-54-33,5109812,Stacy,Evans,"65014 Dominguez Cove
Friedmanborough, PA 92919",Oklahoma,611-10-687,2107,709.625,1760,3593,West Kelly,5677,851.55,1597,239.55,2628,394.2,978,2365.2,575636,106,289,TK,4725,TC,9070,GW,9425,FE,8029,False,False,True,YB   98420
